Unnamed: 0,ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
2475138,8529570,HV206675,03/20/2012 04:30:00 PM,030XX W 21ST PL,1812,NARCOTICS,POSS: CANNABIS MORE THAN 30GMS,RESIDENCE,True,False,1022,10.0,24.0,30.0,18,1156497.0,1889561.0,2012,02/04/2016 06:33:39 AM,41.852735439,-87.701093124,"(41.852735439, -87.701093124)"
3532500,10366486,HZ102512,01/03/2016 11:20:00 AM,086XX S ASHLAND AVE,1330,CRIMINAL TRESPASS,TO LAND,PARKING LOT/GARAGE(NON.RESID.),True,False,614,6.0,18.0,71.0,26,1167180.0,1847402.0,2016,01/10/2016 08:46:55 AM,41.736823619,-87.663089637,"(41.736823619, -87.663089637)"
3432029,10195146,HY382093,08/14/2015 04:30:00 AM,092XX S DAUPHIN AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,633,6.0,8.0,44.0,08B,1183573.0,1843821.0,2015,08/24/2015 03:30:37 PM,41.726630921,-87.603142552,"(41.726630921, -87.603142552)"
2846546,9122687,HW267132,12/18/2012 12:01:00 AM,078XX S CLYDE AVE,0890,THEFT,FROM BUILDING,ABANDONED BUILDING,False,False,414,4.0,8.0,43.0,06,1191563.0,1853405.0,2012,02/04/2016 06:33:39 AM,41.752740579,-87.573564838,"(41.752740579, -87.573564838)"
4038859,10398339,HZ134658,01/30/2016 01:45:00 AM,021XX N KIMBALL AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,1413,14.0,26.0,22.0,14,1153364.0,1913901.0,2016,02/06/2016 03:45:18 PM,41.919589591,-87.711945384,"(41.919589591, -87.711945384)"
881018,9994364,HY184639,03/11/2015 04:00:00 PM,055XX S FRANCISCO AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,False,False,824,8.0,16.0,63.0,11,1157986.0,1867786.0,2015,08/17/2015 03:03:40 PM,41.792951944,-87.696220646,"(41.792951944, -87.696220646)"
6162248,10709452,HZ466725,10/08/2016 03:00:00 PM,024XX S ALBANY AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,1033,10.0,12.0,30.0,14,1156078.0,1887730.0,2016,10/15/2016 03:46:46 PM,41.847719422,-87.702680346,"(41.847719422, -87.702680346)"
3210870,9730130,HX379652,08/08/2014 07:00:00 PM,075XX S STEWART AVE,0460,BATTERY,SIMPLE,SIDEWALK,False,False,623,6.0,17.0,69.0,08B,1174930.0,1855016.0,2014,02/04/2016 06:33:39 AM,41.757548256,-87.634469566,"(41.757548256, -87.634469566)"
2558556,8662565,HV337562,06/16/2012 11:25:00 AM,043XX N ST LOUIS AVE,0420,BATTERY,AGGRAVATED:KNIFE/CUTTING INSTR,SIDEWALK,True,False,1723,17.0,33.0,16.0,04B,1152275.0,1928665.0,2012,02/04/2016 06:33:39 AM,41.960124733,-87.715555626,"(41.960124733, -87.715555626)"
2908258,9219061,HW365443,07/16/2013 04:52:00 PM,092XX S PEORIA ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,2223,22.0,21.0,73.0,08B,1171940.0,1843458.0,2013,02/04/2016 06:33:39 AM,41.725897686,-87.645765927,"(41.725897686, -87.645765927)"
2775228,9005604,HW152878,02/11/2013 05:20:00 PM,052XX S WOODLAWN AVE,0330,ROBBERY,AGGRAVATED,SIDEWALK,False,False,233,2.0,4.0,41.0,03,1185110.0,1870774.0,2013,02/04/2016 06:33:39 AM,41.800556589,-87.596666879,"(41.800556589, -87.596666879)"
2730784,8933908,HV605826,12/15/2012 05:00:00 PM,019XX E 74TH ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,333,3.0,5.0,43.0,14,1190610.0,1856292.0,2012,02/04/2016 06:33:39 AM,41.760685794,-87.576964119,"(41.760685794, -87.576964119)"
2673237,8842557,HV515147,10/12/2012 01:15:00 PM,019XX S PULASKI RD,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,GAS STATION,True,False,1012,10.0,24.0,29.0,18,1150020.0,1890287.0,2012,02/04/2016 06:33:39 AM,41.854856077,-87.724847036,"(41.854856077, -87.724847036)"
2931955,9257860,HW403354,08/09/2013 08:09:00 PM,020XX N MILWAUKEE AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,OTHER,False,False,1431,14.0,1.0,22.0,11,1159269.0,1913573.0,2013,02/04/2016 06:33:39 AM,41.918570075,-87.690258545,"(41.918570075, -87.690258545)"
2931184,9256939,HW402164,08/01/2013 07:00:00 PM,107XX S PRAIRIE AVE,4255,KIDNAPPING,UNLAWFUL INTERFERE/VISITATION,RESIDENCE,False,True,513,5.0,9.0,49.0,26,1179818.0,1833843.0,2013,02/04/2016 06:33:39 AM,41.699336566,-87.617201397,"(41.699336566, -87.617201397)"
2445444,8482893,HV159563,02/15/2012 06:20:00 PM,031XX S GREEN ST,1330,CRIMINAL TRESPASS,TO LAND,CHA PARKING LOT/GROUNDS,True,False,924,9.0,11.0,60.0,26,1171072.0,1884068.0,2012,02/04/2016 06:33:39 AM,41.837355239,-87.647759435,"(41.837355239, -87.647759435)"
3444416,10216613,HY403090,08/30/2015 02:00:00 AM,033XX W HIRSCH ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,True,False,1422,14.0,26.0,23.0,07,1153749.0,1909109.0,2015,10/20/2015 03:54:43 PM,41.906432259,-87.710658654,"(41.906432259, -87.710658654)"
2739978,8948428,HV620606,12/29/2012 12:30:00 AM,078XX S LANGLEY AVE,0810,THEFT,OVER $500,STREET,False,False,624,6.0,6.0,69.0,06,1182252.0,1853230.0,2012,02/04/2016 06:33:39 AM,41.752480926,-87.607690852,"(41.752480926, -87.607690852)"
