neighborhood_name,community_area,unemployment_rate,hardship_index,median_income,people_of_color_pct,child_opportunity_index
North Center,5,4.437167035928083,5.312208030212693,127745.0542683708,25.3539275899884,87.405169797
Pullman,50,20.91289313285183,75.19360923762409,47775.58633617448,88.37051950611253,20.403163375
South Deering,51,24.01873506229324,90.43526915718628,29988.2780081197,95.1204860839116,10.4688918
East Side,52,17.49695197828954,85.04020653151795,53956.86580930872,87.28369348673338,20.456889682
West Pullman,53,25.31328148785992,89.13497963748296,48566.08290370775,99.14089488957168,7.7298622954
Riverdale,54,37.11521369942083,99.4718404920947,19083.87218959985,98.93748968676782,8.5845049926
Hegewisch,55,6.623293117299889,48.18536931068924,77811.49378033185,63.182259783407616,21.000715129
Garfield Ridge,56,10.199976264891628,55.93846607619656,83896.10909844287,59.978438394007256,38.082513177
Archer Heights,57,10.543405884713946,83.6227968295622,64997.2564872694,85.24931434831284,19.935580114
Brighton Park,58,10.711523930671133,92.21829939764817,49805.3417693981,92.53276099704485,11.585028339
McKinley Park,59,12.083471972378218,83.72804299286535,56239.187647742096,84.77021680867419,18.292341731
Lake View,6,3.2243486217684647,2.236173874627028,119169.09149757482,23.728783631161544,85.463657763
Bridgeport,60,9.9191814387091,65.29354356002052,60065.27022574557,64.71072845993552,45.929262517
New City,61,20.287750620452368,93.75026094786824,51462.052788023975,88.18617925685695,3.7456971443
West Elsdon,62,12.410902517846663,83.1795119963906,64745.92172774836,85.1447426150657,23.58579537
Gage Park,63,15.981319590140169,94.04283389063316,51437.81583984583,96.3642441485559,14.370921546
Clearing,64,9.540567367065504,54.12424920541278,83981.98063887071,60.96659187268782,36.586192601
West Lawn,65,12.873029233855457,84.02632872628269,68895.17858452561,87.95481761009304,27.904988513
Chicago Lawn,66,24.520729268388813,92.58611800019972,42755.60394011517,97.6352396192688,7.5000921144
West Englewood,67,33.10467564298479,95.18974819369222,37096.11143470096,98.54354094075764,2.4911385274
Englewood,68,35.54328851340933,97.17294451482854,28328.792419634363,98.81394592978582,2.0063658061
Greater Grand Crossing,69,25.45599808324508,88.36572605606776,36285.640086420375,99.166636451768,2.5939481016
Lincoln Park,7,3.661260029354545,2.331369515343504,135045.29259111753,19.7913279908336,88.611830476
Ashburn,70,12.429383389528011,64.30702454895456,87783.03165717158,90.00002409682254,24.757341353
Auburn Gresham,71,24.33482709857427,84.60847783431787,40103.25794178777,98.99409518514967,4.4247255284
Beverly,72,6.409909409888928,14.923076394173693,119840.36028945894,43.52193427711237,56.170100606
Washington Heights,73,18.426902921965592,73.53609033754964,62019.359572625326,98.3429485467147,21.55021485
Mount Greenwood,74,5.195723439805366,18.114876469392275,116182.1544161367,18.92221723014242,66.887752442
Morgan Park,75,11.994561098915788,55.26512227579755,73428.43364061083,69.4863053104536,34.783838815
O'Hare,76,9.060468542051415,49.412753209026015,75893.28043104787,32.64260056390062,50.401100486
Edgewater,77,6.783009189735081,34.91738196478729,72042.58227145877,46.26689005904003,47.757878694
Near North Side,8,4.490649098819959,7.337323601777133,123005.81649795336,30.16529364826736,77.868683042
Edison Park,9,4.117257063395023,6.173333995370961,112478.87572251551,17.26587856455736,66.051876825
